run_index,algorithm,duration,period,flowmonMode,seed,return_code,elapsed_seconds,decisions,handover_count,final_net,error
0,laavha,10.0,0.1,feed,200,0,7.0,100,3,1,
1,laavha,10.0,0.1,feed,201,0,7.0,100,3,1,
2,laavha,10.0,0.1,feed,202,0,7.5,100,3,1,
3,laavha,10.0,0.1,feed,203,0,9.6,100,3,1,
4,laavha,10.0,0.1,feed,204,0,9.4,100,3,1,
5,laavha,10.0,0.1,feed,205,0,9.0,100,3,1,
6,laavha,10.0,0.1,feed,206,0,9.0,100,3,1,
7,laavha,10.0,0.1,feed,207,0,9.2,100,3,1,
8,laavha,10.0,0.1,feed,208,0,9.2,100,3,1,
9,laavha,10.0,0.1,feed,209,0,9.4,100,3,1,
10,laavha,10.0,0.1,feed,210,0,9.5,100,3,1,
11,laavha,10.0,0.1,feed,211,0,9.5,100,3,1,
12,laavha,10.0,0.1,feed,212,0,9.5,100,3,1,
13,laavha,10.0,0.1,feed,213,0,12.2,100,3,1,
14,laavha,10.0,0.1,feed,214,0,11.9,100,3,1,
15,laavha,10.0,0.1,feed,215,0,11.4,100,3,1,
16,laavha,10.0,0.1,feed,216,0,11.9,100,3,1,
17,laavha,10.0,0.1,feed,217,0,10.8,100,3,1,
18,laavha,10.0,0.1,feed,218,0,10.2,100,3,1,
19,laavha,10.0,0.1,feed,219,0,9.4,100,3,1,
20,topsis-q,10.0,0.1,feed,220,0,8.7,100,2,0,
21,topsis-q,10.0,0.1,feed,221,0,8.7,100,2,0,
22,topsis-q,10.0,0.1,feed,222,0,8.8,100,2,0,
23,topsis-q,10.0,0.1,feed,223,0,8.5,100,2,0,
24,topsis-q,10.0,0.1,feed,224,0,8.5,100,2,0,
25,topsis-q,10.0,0.1,feed,225,0,8.6,100,2,0,
26,topsis-q,10.0,0.1,feed,226,0,8.5,100,2,0,
27,topsis-q,10.0,0.1,feed,227,0,8.3,100,2,0,
28,topsis-q,10.0,0.1,feed,228,0,8.7,100,2,0,
29,topsis-q,10.0,0.1,feed,229,0,8.4,100,2,0,
30,topsis-q,10.0,0.1,feed,230,0,9.1,100,4,0,
31,topsis-q,10.0,0.1,feed,231,0,9.2,100,2,0,
