run_index,algorithm,duration,period,flowmonMode,seed,return_code,elapsed_seconds,decisions,handover_count,final_net,error
0,laavha,10.0,0.1,feed,200,0,25.9,100,0,0,
1,laavha,10.0,0.1,feed,201,0,23.4,100,0,0,
2,laavha,10.0,0.1,feed,202,0,21.4,100,0,0,
3,laavha,10.0,0.1,feed,203,0,22.8,100,0,0,
4,laavha,10.0,0.1,feed,204,0,25.1,100,0,0,
5,laavha,10.0,0.1,feed,205,0,21.2,100,0,0,
6,laavha,10.0,0.1,feed,206,0,18.7,100,0,0,
7,laavha,10.0,0.1,feed,207,0,20.3,100,0,0,
8,laavha,10.0,0.1,feed,208,0,17.7,100,0,0,
9,laavha,10.0,0.1,feed,209,0,18.2,100,0,0,
10,laavha,10.0,0.1,feed,210,0,20.5,100,0,0,
11,laavha,10.0,0.1,feed,211,0,17.4,100,0,0,
12,laavha,10.0,0.1,feed,212,0,16.4,100,0,0,
13,laavha,10.0,0.1,feed,213,0,19.7,100,0,0,
14,laavha,10.0,0.1,feed,214,0,21.2,100,0,0,
15,laavha,10.0,0.1,feed,215,0,20.3,100,0,0,
16,laavha,10.0,0.1,feed,216,0,21.6,100,0,0,
17,laavha,10.0,0.1,feed,217,0,20.1,100,0,0,
18,laavha,10.0,0.1,feed,218,0,20.0,100,0,0,
19,laavha,10.0,0.1,feed,219,0,22.5,100,0,0,
20,laavha,10.0,0.1,feed,220,0,22.5,100,0,0,
21,laavha,10.0,0.1,feed,221,0,17.1,100,0,0,
22,laavha,10.0,0.1,feed,222,0,18.9,100,0,0,
23,laavha,10.0,0.1,feed,223,0,16.1,100,0,0,
24,laavha,10.0,0.1,feed,224,0,16.9,100,0,0,
25,laavha,10.0,0.1,feed,225,0,17.1,100,0,0,
26,laavha,10.0,0.1,feed,226,0,16.3,100,0,0,
27,laavha,10.0,0.1,feed,227,0,15.6,100,0,0,
28,laavha,10.0,0.1,feed,228,0,18.6,100,0,0,
29,laavha,10.0,0.1,feed,229,0,16.0,100,0,0,
30,laavha,10.0,0.1,feed,230,0,18.2,100,0,0,
31,laavha,10.0,0.1,feed,231,0,16.2,100,0,0,
32,laavha,10.0,0.1,feed,232,0,16.8,100,0,0,
33,laavha,10.0,0.1,feed,233,0,18.8,100,0,0,
34,laavha,10.0,0.1,feed,234,0,19.7,100,0,0,
35,laavha,10.0,0.1,feed,235,0,22.7,100,0,0,
36,laavha,10.0,0.1,feed,236,0,20.3,100,0,0,
37,laavha,10.0,0.1,feed,237,0,16.2,100,0,0,
38,laavha,10.0,0.1,feed,238,0,23.0,100,0,0,
39,laavha,10.0,0.1,feed,239,0,18.2,100,0,0,
40,laavha,10.0,0.1,feed,240,0,17.9,100,0,0,
41,laavha,10.0,0.1,feed,241,0,21.8,100,0,0,
42,laavha,10.0,0.1,feed,242,0,15.6,100,0,0,
43,laavha,10.0,0.1,feed,243,0,15.7,100,0,0,
44,laavha,10.0,0.1,feed,244,0,19.8,100,0,0,
45,laavha,10.0,0.1,feed,245,0,16.1,100,0,0,
46,laavha,10.0,0.1,feed,246,0,17.8,100,0,0,
47,laavha,10.0,0.1,feed,247,0,18.8,100,0,0,
48,laavha,10.0,0.1,feed,248,0,19.4,100,0,0,
49,laavha,10.0,0.1,feed,249,0,15.5,100,0,0,
50,topsis-q,10.0,0.1,feed,250,0,12.8,100,4,0,
51,topsis-q,10.0,0.1,feed,251,0,12.9,100,4,0,
52,topsis-q,10.0,0.1,feed,252,0,13.2,100,4,0,
53,topsis-q,10.0,0.1,feed,253,0,16.0,100,4,0,
54,topsis-q,10.0,0.1,feed,254,0,12.4,100,4,0,
55,topsis-q,10.0,0.1,feed,255,0,13.5,100,6,0,
56,topsis-q,10.0,0.1,feed,256,0,15.2,100,4,0,
57,topsis-q,10.0,0.1,feed,257,0,12.3,100,2,0,
58,topsis-q,10.0,0.1,feed,258,0,15.5,100,4,0,
59,topsis-q,10.0,0.1,feed,259,0,17.4,100,4,0,
60,topsis-q,10.0,0.1,feed,260,0,18.9,100,4,0,
61,topsis-q,10.0,0.1,feed,261,0,12.6,100,4,0,
62,topsis-q,10.0,0.1,feed,262,0,14.0,100,4,0,
63,topsis-q,10.0,0.1,feed,263,0,13.6,100,4,0,
64,topsis-q,10.0,0.1,feed,264,0,12.8,100,4,0,
65,topsis-q,10.0,0.1,feed,265,0,15.3,100,6,0,
66,topsis-q,10.0,0.1,feed,266,0,18.6,100,4,0,
67,topsis-q,10.0,0.1,feed,267,0,12.7,100,4,0,
68,topsis-q,10.0,0.1,feed,268,0,21.5,100,4,0,
69,topsis-q,10.0,0.1,feed,269,0,13.2,100,6,0,
70,topsis-q,10.0,0.1,feed,270,0,15.6,100,4,0,
71,topsis-q,10.0,0.1,feed,271,0,19.5,100,6,0,
72,topsis-q,10.0,0.1,feed,272,0,16.3,100,4,0,
73,topsis-q,10.0,0.1,feed,273,0,21.8,100,6,0,
74,topsis-q,10.0,0.1,feed,274,0,14.6,100,2,0,
75,topsis-q,10.0,0.1,feed,275,0,17.1,100,4,0,
76,topsis-q,10.0,0.1,feed,276,0,13.5,100,4,0,
77,topsis-q,10.0,0.1,feed,277,0,16.8,100,4,0,
78,topsis-q,10.0,0.1,feed,278,0,12.6,100,4,0,
