alpha,group,history_length,mean_detection_delay_s,mean_false_handovers,required_detection_rate,risk_lambda,std_false_handovers,threshold,window
0.2,fusion,,,1.2,,,0.824621125123532,,
0.4,fusion,,,0.9,,,0.3,,
0.6,fusion,,,0.08,,,0.2712931993250107,,
0.8,fusion,,,1.0,,,0.0,,
,hysteresis,,1.084,9.1,1.0,,,0.03,2
,hysteresis,,1.396,6.48,1.0,,,0.05,2
,hysteresis,,1.6680000000000004,2.72,1.0,,,0.07,2
,hysteresis,,1.25,1.06,1.0,,,0.03,3
,hysteresis,,1.5460000000000003,0.64,1.0,,,0.05,3
,hysteresis,,1.8560000000000003,0.08,1.0,,,0.07,3
,hysteresis,,1.382,0.38,1.0,,,0.03,4
,hysteresis,,1.68,0.0,1.0,,,0.05,4
,hysteresis,,1.9980000000000002,0.0,1.0,,,0.07,4
,enhancement,3,1.128,3.1,1.0,0.2,,,
,enhancement,3,1.1640000000000001,1.48,1.0,0.5,,,
,enhancement,3,1.2060000000000002,0.64,1.0,0.8,,,
,enhancement,5,1.126,1.9,1.0,0.2,,,
,enhancement,5,1.168,1.08,1.0,0.5,,,
,enhancement,5,1.2180000000000002,0.58,1.0,0.8,,,
,enhancement,7,1.124,1.98,1.0,0.2,,,
,enhancement,7,1.176,1.14,1.0,0.5,,,
,enhancement,7,1.214,0.66,1.0,0.8,,,
