run_index,algorithm,duration,period,flowmonMode,seed,return_code,elapsed_seconds,decisions,handover_count,final_net,error
0,laavha-enhanced,10.0,0.1,feed,100,0,7.0,100,0,0,
1,laavha-enhanced,10.0,0.1,feed,101,0,7.2,100,0,0,
2,laavha-enhanced,10.0,0.1,feed,102,0,7.2,100,0,0,
3,laavha-enhanced,10.0,0.1,feed,103,0,9.1,100,0,0,
4,laavha-enhanced,10.0,0.1,feed,104,0,10.4,100,0,0,
5,laavha-enhanced,10.0,0.1,feed,105,0,10.1,100,0,0,
6,laavha-enhanced,10.0,0.1,feed,106,0,9.6,100,0,0,
7,laavha-enhanced,10.0,0.1,feed,107,0,9.5,100,0,0,
8,laavha-enhanced,10.0,0.1,feed,108,0,9.8,100,0,0,
9,laavha-enhanced,10.0,0.1,feed,109,0,9.5,100,0,0,
10,laavha-enhanced,10.0,0.1,feed,110,0,9.9,100,0,0,
11,laavha-enhanced,10.0,0.1,feed,111,0,9.8,100,0,0,
12,laavha-enhanced,10.0,0.1,feed,112,0,10.0,100,0,0,
13,laavha-enhanced,10.0,0.1,feed,113,0,9.2,100,0,0,
14,laavha-enhanced,10.0,0.1,feed,114,0,9.0,100,0,0,
15,laavha-enhanced,10.0,0.1,feed,115,0,9.2,100,0,0,
16,laavha-enhanced,10.0,0.1,feed,116,0,10.5,100,0,0,
17,laavha-enhanced,10.0,0.1,feed,117,0,11.2,100,0,0,
18,laavha-enhanced,10.0,0.1,feed,118,0,11.0,100,0,0,
19,laavha-enhanced,10.0,0.1,feed,119,0,11.8,100,0,0,
