LAAVHA Comparison Algorithm Experiment Results
============================================================
Setup: 9 algorithms x 20 seeds, 100 decisions/run
Duration: 10s, period: 0.1s
positionJitter=30m, altitudeJitter=10m, randomizeScenario=true

Algorithm                 avg    std    min    max
----------------------------------------------
laavha                    0.0   0.00      0      0
laavha-l                  0.5   0.89      0      2
strongest-signal          1.7   0.47      1      2
laavha-a                  2.0   0.00      2      2
topsis-q                  3.9   0.79      2      6
vikor                    13.6   4.28      6     20
gra                      19.6   2.21     16     24
spotis                   23.1   3.52     18     30
copras                   25.6   1.39     24     28
