run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
6,laavha-enhanced,106,0,0.000,0,0,0,0.998577,0.283763,0.001423,4.5895,-90.4105,1.0000,0.0000,0.000000,-14.4147,-114.4147,10.0000,0.0000,0.000000,40.1302,-52.8698,10.0000,0.0000,0.000000
6,laavha-enhanced,106,1,0.100,0,0,0,0.999045,0.283546,0.000955,4.6070,-90.3930,1.0000,0.0000,0.000000,-14.3710,-114.3710,10.0000,0.0000,0.000000,38.3648,-54.6352,10.0000,0.0000,0.000000
6,laavha-enhanced,106,2,0.200,0,0,0,0.999791,0.000058,0.482525,4.6245,-90.3755,1.0000,0.0000,0.000000,-14.3271,-114.3271,10.0000,0.0000,0.000000,36.7736,-56.2264,0.0001,0.0000,0.000000
6,laavha-enhanced,106,3,0.300,0,0,0,0.999695,0.000034,0.482867,4.6420,-90.3580,1.0000,0.0000,0.000000,-14.2831,-114.2831,10.0000,0.0000,0.000000,35.3332,-57.6668,0.0001,0.4915,0.000000
6,laavha-enhanced,106,4,0.400,0,0,0,0.999765,0.000026,0.470822,4.6596,-90.3404,1.0000,0.0000,0.000000,-14.2390,-114.2390,10.0000,0.0000,0.000000,34.0216,-58.9784,0.3122,0.4915,0.000000
6,laavha-enhanced,106,5,0.500,0,0,0,1.000000,0.000000,0.450444,4.6772,-90.3229,1.0004,2.0736,0.000000,-14.1948,-114.1948,10.0000,0.0000,0.000000,32.8202,-60.1798,0.8288,0.4915,0.000000
6,laavha-enhanced,106,6,0.600,0,0,0,1.000000,0.000000,0.450688,4.6948,-90.3052,1.0004,2.1168,0.000000,-14.1504,-114.1504,10.0000,0.0000,0.000000,31.7135,-61.2865,0.8316,0.4915,0.000000
6,laavha-enhanced,106,7,0.700,0,0,0,1.000000,0.000000,0.332829,4.7124,-90.2876,1.0004,2.0736,0.020408,-14.1059,-114.1059,8.4844,0.4752,0.083333,30.6885,-62.3115,2.0148,0.5325,0.027397
6,laavha-enhanced,106,8,0.800,0,0,0,1.000000,0.000000,0.331533,4.7300,-90.2700,1.0004,2.1168,0.000000,-14.0613,-114.0613,8.5567,0.5184,0.000000,29.7347,-63.2653,2.0750,0.4915,0.000000
6,laavha-enhanced,106,9,0.900,0,0,0,1.000000,0.000000,0.336005,4.7477,-90.2523,1.0004,2.1168,0.000000,-14.0165,-114.0165,8.4193,0.5184,0.000000,28.8433,-64.1567,2.0789,0.4915,0.000000
6,laavha-enhanced,106,10,1.000,0,0,0,1.000000,0.000000,0.344846,4.7654,-90.2346,1.0004,2.1168,1.000000,-13.9717,-113.9717,8.5320,0.5184,0.000000,28.0069,-64.9931,2.0974,0.4915,1.000000
6,laavha-enhanced,106,11,1.100,0,0,0,1.000000,0.000000,0.347811,4.7832,-90.2168,1.0004,2.1168,0.000000,-13.9267,-113.9267,8.4782,0.5616,0.000000,27.2194,-65.7806,2.1767,0.4915,0.000000
6,laavha-enhanced,106,12,1.200,0,0,0,1.000000,0.000000,0.372391,4.8009,-90.1991,1.0004,2.1168,0.000000,-13.8815,-113.8815,8.4820,0.5184,0.000000,26.4756,-66.5244,2.0929,0.5325,0.000000
6,laavha-enhanced,106,13,1.300,0,0,0,1.000000,0.000000,0.391017,4.8187,-90.1813,1.0004,2.0736,0.020408,-13.8362,-113.8362,8.5113,0.5184,0.000000,25.7709,-67.2291,2.0901,0.4915,0.013514
6,laavha-enhanced,106,14,1.400,0,0,0,1.000000,0.000000,0.408882,4.8365,-90.1635,1.0004,2.1168,0.000000,-13.7908,-113.7908,8.5407,0.5184,0.000000,25.1016,-67.8984,2.1061,0.4915,0.000000
