run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
0,vikor,116,0,0.000,0,2,1,0.359837,0.240061,0.400102,4.2478,-90.7522,1.0000,0.0000,0.000000,-15.2596,-115.2596,10.0000,0.0000,0.000000,25.3483,-67.6517,10.0000,0.0000,0.000000
0,vikor,116,1,0.100,2,2,0,0.359408,0.240222,0.400370,4.2648,-90.7352,1.0000,0.0000,0.000000,-15.2182,-115.2182,10.0000,0.0000,0.000000,25.8437,-67.1563,10.0000,0.0000,0.000000
0,vikor,116,2,0.200,2,2,0,0.319747,0.226751,0.453502,4.2818,-90.7182,1.0000,0.0000,0.000000,-15.1767,-115.1767,10.0000,0.0000,0.000000,26.3392,-66.6608,0.0001,0.0000,0.000000
0,vikor,116,3,0.300,2,2,0,0.294863,0.204119,0.501018,4.2988,-90.7012,1.0000,0.0000,0.000000,-15.1351,-115.1351,10.0000,0.0000,0.000000,26.8320,-66.1680,0.0001,0.4915,0.000000
0,vikor,116,4,0.400,2,2,0,0.302604,0.201878,0.495518,4.3159,-90.6841,1.0000,0.0000,0.000000,-15.0934,-115.0934,10.0000,0.0000,0.000000,27.3179,-65.6821,0.6926,0.4915,0.000000
0,vikor,116,5,0.500,2,2,0,0.375007,0.199996,0.424997,4.3330,-90.6670,1.0004,2.0736,0.000000,-15.0515,-115.0515,10.0000,0.0000,0.000000,27.7924,-65.2076,0.8376,0.4915,0.000000
0,vikor,116,6,0.600,2,2,0,0.374766,0.200125,0.425108,4.3501,-90.6499,1.0004,2.1168,0.000000,-15.0096,-115.0096,10.0000,0.0000,0.000000,28.2497,-64.7503,0.8376,0.4915,0.000000
0,vikor,116,7,0.700,2,0,1,0.970451,0.009608,0.019940,4.3672,-90.6328,1.0004,2.0736,0.020408,-14.9675,-114.9675,8.4844,0.4752,0.083333,28.6835,-64.3165,2.0169,0.5325,0.027397
0,vikor,116,8,0.800,0,2,1,0.388367,0.206218,0.405416,4.3844,-90.6156,1.0004,2.1168,0.000000,-14.9254,-114.9254,8.5567,0.5184,0.000000,29.0864,-63.9136,2.0771,0.4915,0.000000
0,vikor,116,9,0.900,2,2,0,0.388295,0.206378,0.405327,4.4016,-90.5984,1.0004,2.1168,0.000000,-14.8831,-114.8831,8.4193,0.5184,0.000000,29.4504,-63.5496,2.0795,0.4915,0.000000
0,vikor,116,10,1.000,2,0,1,nan,nan,nan,4.4188,-90.5812,1.0004,2.1168,1.000000,-14.8407,-114.8407,8.5320,0.5184,0.000000,29.7672,-63.2328,2.0974,0.4915,1.000000
0,vikor,116,11,1.100,0,2,1,0.388268,0.207364,0.404367,4.4360,-90.5640,1.0004,2.1168,0.000000,-14.7981,-114.7981,8.4782,0.5616,0.000000,30.0287,-62.9713,2.1749,0.4915,0.000000
0,vikor,116,12,1.200,2,2,0,0.387897,0.206164,0.405940,4.4533,-90.5467,1.0004,2.1168,0.000000,-14.7555,-114.7555,8.4820,0.5184,0.000000,30.2274,-62.7726,2.0892,0.5325,0.000000
0,vikor,116,13,1.300,2,0,1,nan,nan,nan,4.4706,-90.5294,1.0004,2.0736,0.020408,-14.7127,-114.7127,8.5113,0.5184,0.000000,30.3570,-62.6430,2.0822,0.4915,0.013514
0,vikor,116,14,1.400,0,2,1,0.387706,0.206586,0.405708,4.4879,-90.5121,1.0004,2.1168,0.000000,-14.6699,-114.6699,8.5407,0.5184,0.000000,30.4133,-62.5867,2.0988,0.4915,0.000000
0,vikor,116,15,1.500,2,2,0,0.387701,0.206582,0.405717,4.5052,-90.4948,1.0004,2.1168,0.000000,-14.6269,-114.6269,8.4867,0.5184,0.000000,30.3944,-62.6056,2.0899,0.4915,0.000000
0,vikor,116,16,1.600,2,0,1,nan,nan,nan,4.5226,-90.4774,1.0004,2.1168,1.000000,-14.5837,-114.5837,8.5354,0.5616,0.000000,30.3010,-62.6990,2.1850,0.4915,1.000000
0,vikor,116,17,1.700,0,2,1,0.387912,0.206163,0.405925,4.5400,-90.4600,1.0004,2.1168,0.000000,-14.5405,-114.5405,8.5200,0.5184,0.000000,30.1361,-62.8639,2.0954,0.5325,0.000000
0,vikor,116,18,1.800,2,2,0,0.387769,0.206395,0.405835,4.5574,-90.4426,1.0004,2.1168,0.000000,-14.4971,-114.4971,8.4660,0.5184,0.000000,29.9051,-63.0949,2.0603,0.4915,0.000000
0,vikor,116,19,1.900,2,0,1,nan,nan,nan,4.5748,-90.4252,1.0004,2.0736,0.020408,-14.4536,-114.4536,8.4953,0.5184,0.000000,29.6149,-63.3851,2.1065,0.4915,0.013699
0,vikor,116,20,2.000,0,2,1,0.388321,0.206377,0.405302,4.5922,-90.4078,1.0004,2.1168,0.000000,-14.4100,-114.4100,8.5247,0.5184,0.000000,29.2734,-63.7266,2.0962,0.4915,0.000000
0,vikor,116,21,2.100,2,2,0,0.388863,0.207159,0.403979,4.6097,-90.3903,1.0004,2.1168,0.000000,-14.3663,-114.3663,8.4388,0.5616,0.000000,28.8890,-64.1110,2.1680,0.4915,0.000000
0,vikor,116,22,2.200,2,0,1,nan,nan,nan,4.6272,-90.3728,1.0004,2.1168,1.000000,-14.3224,-114.3224,8.5580,0.5184,0.000000,28.4696,-64.5304,2.1017,0.5325,1.000000
0,vikor,116,23,2.300,0,2,1,0.388906,0.206026,0.405068,4.6448,-90.3552,1.0004,2.1168,0.000000,-14.2785,-114.2785,8.5040,0.5184,0.000000,28.0232,-64.9768,2.0679,0.4915,0.000000
0,vikor,116,24,2.400,2,2,0,0.389389,0.206020,0.404591,4.6623,-90.3377,1.0004,2.1168,0.000000,-14.2343,-114.2343,8.4500,0.5184,0.000000,27.5565,-65.4435,2.0859,0.4915,0.000000
0,vikor,116,25,2.500,2,0,1,nan,nan,nan,4.6799,-90.3201,1.0004,2.0736,0.020408,-14.1901,-114.1901,8.5627,0.5184,0.000000,27.0756,-65.9244,2.1198,0.4915,0.013699
0,vikor,116,26,2.600,0,2,1,0.390411,0.206679,0.402910,4.6975,-90.3025,1.0004,2.1168,0.000000,-14.1457,-114.1457,8.4960,0.5616,0.000000,26.5858,-66.4142,2.1847,0.4915,0.000000
0,vikor,116,27,2.700,2,2,0,0.390521,0.205327,0.404152,4.7151,-90.2849,1.0004,2.1168,0.000000,-14.1012,-114.1012,8.5127,0.5184,0.000000,26.0912,-66.9088,2.1015,0.5325,0.000000
0,vikor,116,28,2.800,2,0,1,nan,nan,nan,4.7328,-90.2672,1.0004,2.1168,1.000000,-14.0566,-114.0566,8.5420,0.5184,0.000000,25.5954,-67.4046,2.0803,0.4915,1.000000
0,vikor,116,29,2.900,0,2,1,0.391186,0.205450,0.403365,4.7505,-90.2495,1.0004,2.1168,0.000000,-14.0119,-114.0119,8.4880,0.5184,0.000000,25.1012,-67.8988,2.0974,0.4915,0.000000
0,vikor,116,30,3.000,2,2,0,0.391567,0.205315,0.403118,4.7682,-90.2318,1.0004,2.1168,0.000000,-13.9670,-113.9670,8.4340,0.5184,0.000000,24.6108,-68.3892,2.0885,0.4915,0.000000
0,vikor,116,31,3.100,2,0,1,nan,nan,nan,4.7859,-90.2141,1.0004,2.0736,0.020408,-13.9220,-113.9220,8.5532,0.5616,0.000000,24.1259,-68.8741,2.2116,0.4915,0.013514
0,vikor,116,32,3.200,0,0,0,0.976436,0.009668,0.013897,4.8037,-90.1963,1.0004,2.1168,0.000000,-13.8768,-113.8768,8.4673,0.5184,0.000000,23.6479,-69.3521,2.0940,0.5325,0.013514
0,vikor,116,33,3.300,0,0,0,0.976496,0.009668,0.013835,4.8215,-90.1785,1.0004,2.1168,0.000000,-13.8315,-113.8315,8.4967,0.5184,0.000000,23.1776,-69.8224,2.0730,0.4915,1.000000
0,vikor,116,34,3.400,0,0,0,nan,nan,nan,4.8393,-90.1607,1.0004,2.1168,1.000000,-13.7861,-113.7861,8.5260,0.5184,0.000000,22.7159,-70.2841,2.1037,0.4915,1.000000
0,vikor,116,35,3.500,0,2,1,0.394035,0.205512,0.400453,4.8571,-90.1429,1.0004,2.1168,0.000000,-13.7406,-113.7406,8.5298,0.5616,0.000000,22.2630,-70.7370,2.2006,0.4915,0.000000
0,vikor,116,36,3.600,2,2,0,0.394225,0.204138,0.401637,4.8750,-90.1250,1.0004,2.1168,0.000000,-13.6949,-113.6949,8.4760,0.5184,0.000000,21.8194,-71.1806,2.1060,0.5325,0.000000
