run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
1,laavha-enhanced,201,0,0.000,0,0,0,0.999859,0.195366,0.000141,4.3019,-90.6981,1.0000,0.0000,0.000000,-15.1204,-115.1204,10.0000,0.0000,0.000000,24.6265,-68.3735,10.0000,0.0000,0.000000
1,laavha-enhanced,201,1,0.100,0,0,0,0.999848,0.195841,0.000152,4.3190,-90.6810,1.0000,0.0000,0.000000,-15.0787,-115.0787,10.0000,0.0000,0.000000,24.9690,-68.0310,10.0000,0.0000,0.000000
1,laavha-enhanced,201,2,0.200,0,0,0,0.999954,0.000024,0.542606,4.3361,-90.6639,1.0000,0.0000,0.000000,-15.0367,-115.0367,10.0000,0.0000,0.000000,25.2959,-67.7041,0.0001,0.0000,0.000000
1,laavha-enhanced,201,3,0.300,0,0,0,0.999897,0.000021,0.541966,4.3532,-90.6468,1.0000,0.0000,0.000000,-14.9947,-114.9947,10.0000,0.0000,0.000000,25.6040,-67.3960,0.0001,0.4915,0.000000
1,laavha-enhanced,201,4,0.400,0,0,0,0.999883,0.000025,0.523621,4.3704,-90.6296,1.0000,0.0000,0.000000,-14.9526,-114.9526,10.0000,0.0000,0.000000,25.8895,-67.1105,0.5047,0.4915,0.000000
1,laavha-enhanced,201,5,0.500,0,0,0,1.000000,0.000000,0.515566,4.3875,-90.6125,1.0004,2.0736,0.000000,-14.9103,-114.9103,10.0000,0.0000,0.000000,26.1488,-66.8512,0.8376,0.4915,0.000000
1,laavha-enhanced,201,6,0.600,0,0,0,1.000000,0.000000,0.522848,4.4047,-90.5953,1.0004,2.1168,0.000000,-14.8679,-114.8679,10.0000,0.0000,0.000000,26.3781,-66.6219,0.8539,0.4915,0.000000
1,laavha-enhanced,201,7,0.700,0,0,0,1.000000,0.000000,0.429960,4.4220,-90.5780,1.0004,2.0736,0.020408,-14.8255,-114.8255,8.4844,0.4752,0.083333,26.5737,-66.4263,2.0223,0.5325,0.027397
1,laavha-enhanced,201,8,0.800,0,0,0,1.000000,0.000000,0.437062,4.4392,-90.5608,1.0004,2.1168,0.000000,-14.7828,-114.7828,8.5567,0.5184,0.000000,26.7324,-66.2676,2.0942,0.4915,0.000000
1,laavha-enhanced,201,9,0.900,0,0,0,1.000000,0.000000,0.450529,4.4565,-90.5435,1.0004,2.1168,0.000000,-14.7401,-114.7401,8.4193,0.5184,0.000000,26.8512,-66.1488,2.0861,0.4915,0.000000
1,laavha-enhanced,201,10,1.000,0,0,0,1.000000,0.000000,0.465854,4.4738,-90.5262,1.0004,2.1168,1.000000,-14.6973,-114.6973,8.5320,0.5184,0.000000,26.9278,-66.0722,2.1161,0.4915,1.000000
1,laavha-enhanced,201,11,1.100,0,0,0,1.000000,0.000007,0.485777,4.4911,-90.5089,1.0004,2.1168,0.000000,-14.6543,-114.6543,8.4782,0.5616,0.000000,26.9608,-66.0392,2.1820,0.4915,0.000000
1,laavha-enhanced,201,12,1.200,0,0,0,1.000000,0.000000,0.483011,4.5084,-90.4916,1.0004,2.1168,0.000000,-14.6112,-114.6112,8.4820,0.5184,0.000000,26.9494,-66.0506,2.1071,0.5325,0.000000
1,laavha-enhanced,201,13,1.300,0,0,0,1.000000,0.000000,0.477240,4.5258,-90.4742,1.0004,2.0736,0.020408,-14.5680,-114.5680,8.5113,0.5184,0.000000,26.8939,-66.1061,2.0901,0.4915,0.013514
1,laavha-enhanced,201,14,1.400,0,0,0,1.000000,0.000000,0.470546,4.5432,-90.4568,1.0004,2.1168,0.000000,-14.5247,-114.5247,8.5407,0.5184,0.000000,26.7954,-66.2046,2.1166,0.4915,0.000000
1,laavha-enhanced,201,15,1.500,0,0,0,1.000000,0.000000,0.468796,4.5606,-90.4394,1.0004,2.1168,0.000000,-14.4812,-114.4812,8.4867,0.5184,0.000000,26.6559,-66.3441,2.0972,0.4915,0.000000
1,laavha-enhanced,201,16,1.600,0,0,0,1.000000,0.000000,0.456926,4.5780,-90.4220,1.0004,2.1168,1.000000,-14.4376,-114.4376,8.5354,0.5616,0.000000,26.4779,-66.5221,2.2026,0.4915,1.000000
1,laavha-enhanced,201,17,1.700,0,0,0,1.000000,0.000000,0.465934,4.5955,-90.4045,1.0004,2.1168,0.000000,-14.3939,-114.3939,8.5200,0.5184,0.000000,26.2645,-66.7355,2.1027,0.5325,0.000000
1,laavha-enhanced,201,18,1.800,0,0,0,1.000000,0.000000,0.468984,4.6130,-90.3870,1.0004,2.1168,0.000000,-14.3501,-114.3501,8.4660,0.5184,0.000000,26.0194,-66.9806,2.0786,0.4915,0.000000
