run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
3,laavha,203,0,0.000,0,0,0,0.999995,0.082466,0.000005,3.9250,-91.0750,1.0000,0.0000,0.000000,-16.0387,-116.0387,10.0000,0.0000,0.000000,18.1930,-74.8070,10.0000,0.0000,0.000000
3,laavha,203,1,0.100,0,0,0,0.999995,0.083557,0.000005,3.9416,-91.0584,1.0000,0.0000,0.000000,-15.9994,-115.9994,10.0000,0.0000,0.000000,18.5853,-74.4147,10.0000,0.0000,0.000000
3,laavha,203,2,0.200,0,0,0,0.999999,0.000001,0.605433,3.9582,-91.0418,1.0000,0.0000,0.000000,-15.9600,-115.9600,10.0000,0.0000,0.000000,18.9897,-74.0103,0.0001,0.0000,0.000000
3,laavha,203,3,0.300,0,0,0,0.999999,0.000001,0.610117,3.9747,-91.0253,1.0000,0.0000,0.000000,-15.9205,-115.9205,10.0000,0.0000,0.000000,19.4069,-73.5931,0.0001,0.0000,0.000000
3,laavha,203,4,0.400,0,0,0,0.999998,0.000002,0.616257,3.9914,-91.0086,1.0000,0.0000,0.000000,-15.8809,-115.8809,10.0000,0.0000,0.000000,19.8377,-73.1623,0.0001,0.0000,1.000000
3,laavha,203,5,0.500,0,0,0,1.000000,0.000000,0.587034,4.0080,-90.9920,1.0004,2.0736,0.000000,-15.8412,-115.8412,10.0000,0.0000,0.000000,20.2831,-72.7169,1.0004,0.0000,0.200000
3,laavha,203,6,0.600,0,0,0,1.000000,0.000000,0.600689,4.0247,-90.9753,1.0004,2.1168,0.000000,-15.8014,-115.8014,10.0000,0.0000,0.000000,20.7441,-72.2559,1.0004,0.0000,0.196721
3,laavha,203,7,0.700,0,0,0,1.000000,0.000002,0.529850,4.0413,-90.9587,1.0004,2.0736,0.020408,-15.7614,-115.7614,8.4844,0.4752,0.083333,21.2218,-71.7782,2.3957,0.0000,0.191781
3,laavha,203,8,0.800,0,0,0,1.000000,0.000003,0.571601,4.0580,-90.9420,1.0004,2.1168,0.000000,-15.7214,-115.7214,8.5567,0.5184,0.000000,21.7173,-71.2827,2.4869,0.0000,0.175676
3,laavha,203,9,0.900,0,0,0,1.000000,0.000003,0.640294,4.0748,-90.9252,1.0004,2.1168,0.000000,-15.6813,-115.6813,8.4193,0.5184,0.000000,22.2322,-70.7678,2.4599,0.2867,0.164384
3,laavha,203,10,1.000,0,0,0,1.000000,0.000005,0.758237,4.0915,-90.9085,1.0004,2.1168,1.000000,-15.6410,-115.6410,8.5320,0.5184,0.000000,22.7679,-70.2321,2.2974,0.4915,0.055556
3,laavha,203,11,1.100,0,0,0,1.000000,0.000007,0.870989,4.1083,-90.8917,1.0004,2.1168,0.000000,-15.6007,-115.6007,8.4782,0.5616,0.000000,23.3262,-69.6738,2.1924,0.4915,0.000000
