run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
163,saw,363,0,0.000,0,2,1,0.558242,0.200000,0.600000,4.5999,-90.4001,1.0000,0.0000,0.000000,-14.3966,-114.3966,10.0000,0.0000,0.000000,35.5667,-57.4333,10.0000,0.0000,0.000000
163,saw,363,1,0.100,2,2,0,0.561392,0.200000,0.600000,4.6174,-90.3826,1.0000,0.0000,0.000000,-14.3529,-114.3529,10.0000,0.0000,0.000000,34.5197,-58.4803,10.0000,0.0000,0.000000
163,saw,363,2,0.200,2,2,0,0.544606,0.200000,0.800000,4.6349,-90.3651,1.0000,0.0000,0.000000,-14.3090,-114.3090,10.0000,0.0000,0.000000,33.4956,-59.5044,0.0001,0.0000,0.000000
163,saw,363,3,0.300,2,2,0,0.397840,0.050000,0.950000,4.6525,-90.3475,1.0000,0.0000,0.000000,-14.2650,-114.2650,10.0000,0.0000,0.000000,32.5060,-60.4940,0.0001,0.4915,0.000000
163,saw,363,4,0.400,2,2,0,0.408512,0.050000,0.950000,4.6700,-90.3300,1.0000,0.0000,0.000000,-14.2209,-114.2209,10.0000,0.0000,0.000000,31.5564,-61.4436,0.3971,0.4915,0.000000
163,saw,363,5,0.500,2,2,0,0.720536,0.050000,0.721111,4.6876,-90.3124,1.0004,2.0736,0.000000,-14.1767,-114.1767,10.0000,0.0000,0.000000,30.6491,-62.3509,0.8288,0.4915,0.000000
163,saw,363,6,0.600,2,0,1,0.723778,0.050000,0.719660,4.7053,-90.2947,1.0004,2.1168,0.000000,-14.1323,-114.1323,10.0000,0.0000,0.000000,29.7839,-63.2161,0.8316,0.4915,0.000000
163,saw,363,7,0.700,0,0,0,0.780608,0.000000,0.672535,4.7229,-90.2771,1.0004,2.0736,0.020408,-14.0878,-114.0878,8.4844,0.4752,0.083333,28.9596,-64.0404,2.0148,0.5325,0.027397
163,saw,363,8,0.800,0,0,0,0.733718,0.054962,0.621559,4.7406,-90.2594,1.0004,2.1168,0.000000,-14.0432,-114.0432,8.5567,0.5184,0.000000,28.1743,-64.8257,2.0750,0.4915,0.000000
163,saw,363,9,0.900,0,0,0,0.736789,0.054962,0.620887,4.7582,-90.2418,1.0004,2.1168,0.000000,-13.9984,-113.9984,8.4193,0.5184,0.000000,27.4256,-65.5744,2.0804,0.4915,0.000000
163,saw,363,10,1.000,0,0,0,0.689822,0.104962,0.570806,4.7760,-90.2240,1.0004,2.1168,1.000000,-13.9535,-113.9535,8.5320,0.5184,0.000000,26.7113,-66.2887,2.0998,0.4915,1.000000
163,saw,363,11,1.100,0,0,0,0.742818,0.062936,0.618397,4.7937,-90.2063,1.0004,2.1168,0.000000,-13.9085,-113.9085,8.4782,0.5616,0.000000,26.0290,-66.9710,2.1820,0.4915,0.000000
163,saw,363,12,1.200,0,0,0,0.745779,0.050000,0.623344,4.8115,-90.1885,1.0004,2.1168,0.000000,-13.8634,-113.8634,8.4820,0.5184,0.000000,25.3765,-67.6235,2.0964,0.5325,0.000000
163,saw,363,13,1.300,0,0,0,0.698707,0.105097,0.604768,4.8293,-90.1707,1.0004,2.0736,0.020408,-13.8181,-113.8181,8.5113,0.5184,0.000000,24.7517,-68.2483,2.0901,0.4915,0.013514
163,saw,363,14,1.400,0,0,0,0.751603,0.054962,0.620674,4.8471,-90.1529,1.0004,2.1168,0.000000,-13.7727,-113.7727,8.5407,0.5184,0.000000,24.1527,-68.8473,2.1061,0.4915,0.000000
163,saw,363,15,1.500,0,0,0,0.754470,0.054962,0.620699,4.8649,-90.1351,1.0004,2.1168,0.000000,-13.7271,-113.7271,8.4867,0.5184,0.000000,23.5776,-69.4224,2.0972,0.4915,0.000000
163,saw,363,16,1.600,0,0,0,0.707310,0.112936,0.568370,4.8828,-90.1172,1.0004,2.1168,1.000000,-13.6814,-113.6814,8.5354,0.5616,0.000000,23.0250,-69.9750,2.1921,0.4915,1.000000
163,saw,363,17,1.700,0,0,0,0.760124,0.050000,0.623279,4.9007,-90.0993,1.0004,2.1168,0.000000,-13.6356,-113.6356,8.5200,0.5184,0.000000,22.4931,-70.5069,2.1044,0.5325,0.000000
163,saw,363,18,1.800,0,0,0,0.762916,0.054962,0.621099,4.9186,-90.0814,1.0004,2.1168,0.000000,-13.5896,-113.5896,8.4660,0.5184,0.000000,21.9807,-71.0193,2.0793,0.4915,0.000000
163,saw,363,19,1.900,0,0,0,0.715686,0.132771,0.602880,4.9366,-90.0634,1.0004,2.0736,0.020408,-13.5436,-113.5435,8.4953,0.5184,0.000000,21.4864,-71.5136,2.1245,0.3277,0.013699
163,saw,363,20,2.000,0,0,0,0.818436,0.173469,0.567530,4.9546,-90.0454,1.0004,2.1168,0.000000,-13.4973,-113.4973,8.5247,0.5184,0.000000,21.0092,-71.9908,2.2220,0.0000,0.054795
163,saw,363,21,2.100,0,0,0,0.821169,0.179592,0.558065,4.9726,-90.0274,1.0004,2.1168,0.000000,-13.4509,-113.4509,8.4388,0.5616,0.000000,20.5480,-72.4520,2.5601,0.0000,0.162162
163,saw,363,22,2.200,0,0,0,0.723886,0.173469,0.645378,4.9906,-90.0094,1.0004,2.1168,1.000000,-13.4044,-113.4044,8.5580,0.5184,0.000000,20.1017,-72.8983,2.4872,0.0000,0.152778
163,saw,363,23,2.300,0,0,0,0.826589,0.173469,0.560656,5.0087,-89.9913,1.0004,2.1168,0.000000,-13.3578,-113.3578,8.5040,0.5184,0.000000,19.6696,-73.3304,2.4765,0.0000,0.175676
163,saw,363,24,2.400,0,0,0,0.829279,0.173469,0.560656,5.0267,-89.9733,1.0004,2.1168,0.000000,-13.3110,-113.3110,8.4500,0.5184,0.000000,19.2507,-73.7493,2.4659,0.0000,0.164384
163,saw,363,25,2.500,0,0,0,0.820497,0.175000,0.560000,5.0449,-89.9551,1.0004,2.0736,0.020408,-13.2640,-113.2640,8.5627,0.5184,0.000000,18.8443,-74.1557,2.5129,0.0000,0.178082
163,saw,363,26,2.600,0,0,0,0.834625,0.179592,0.558065,5.0630,-89.9370,1.0004,2.1168,0.000000,-13.2170,-113.2170,8.4960,0.5616,0.000000,18.4498,-74.5502,2.5721,0.0000,0.162162
163,saw,363,27,2.700,0,0,0,0.837285,0.173469,0.560656,5.0812,-89.9188,1.0004,2.1168,0.000000,-13.1697,-113.1697,8.5127,0.5184,0.000000,18.0664,-74.9336,2.4783,0.0000,0.164384
163,saw,363,28,2.800,0,0,0,0.739938,0.173469,0.644217,5.0994,-89.9006,1.0004,2.1168,1.000000,-13.1224,-113.1224,8.5420,0.5184,0.000000,17.6936,-75.3064,2.4840,0.0000,0.164384
163,saw,363,29,2.900,0,0,0,0.842584,0.173469,0.560656,5.1176,-89.8824,1.0004,2.1168,0.000000,-13.0749,-113.0749,8.4880,0.5184,0.000000,17.3309,-75.6691,2.4734,0.0000,0.164384
163,saw,363,30,3.000,0,0,0,0.845225,0.173469,0.560656,5.1358,-89.8642,1.0004,2.1168,0.000000,-13.0272,-113.0272,8.4340,0.5184,0.000000,16.9777,-76.0223,2.4628,0.0000,0.164384
163,saw,363,31,3.100,0,0,0,0.836246,0.181250,0.557377,5.1541,-89.8459,1.0004,2.0736,0.020408,-12.9794,-112.9794,8.5532,0.5616,0.000000,16.6336,-76.3664,2.6100,0.0000,0.175676
163,saw,363,32,3.200,0,0,0,0.850498,0.173469,0.560656,5.1724,-89.8276,1.0004,2.1168,0.000000,-12.9314,-112.9314,8.4673,0.5184,0.000000,16.2981,-76.7019,2.4693,0.0000,0.175676
163,saw,363,33,3.300,0,0,0,0.853132,0.173469,0.560656,5.1907,-89.8093,1.0004,2.1168,0.000000,-12.8833,-112.8833,8.4967,0.5184,0.000000,15.9708,-77.0293,2.4751,0.0000,0.164384
163,saw,363,34,3.400,0,0,0,0.755765,0.173469,0.645378,5.2091,-89.7909,1.0004,2.1168,1.000000,-12.8351,-112.8351,8.5260,0.5184,0.000000,15.6513,-77.3487,2.4809,0.0000,0.152778
163,saw,363,35,3.500,0,0,0,0.858399,0.179592,0.558065,5.2275,-89.7725,1.0004,2.1168,0.000000,-12.7867,-112.7867,8.5298,0.5616,0.000000,15.3393,-77.6607,2.5792,0.0000,0.162162
163,saw,363,36,3.600,0,0,0,0.861034,0.173469,0.560656,5.2459,-89.7541,1.0004,2.1168,0.000000,-12.7381,-112.7381,8.4760,0.5184,0.000000,15.0344,-77.9656,2.4710,0.0000,0.164384
