run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
219,vikor,419,0,0.000,0,2,1,0.355049,0.241856,0.403094,4.5627,-90.4373,1.0000,0.0000,0.000000,-14.4796,-114.4796,10.0000,0.0000,0.000000,31.8072,-61.1928,10.0000,0.0000,0.000000
219,vikor,419,1,0.100,2,2,0,0.355282,0.241769,0.402949,4.5802,-90.4198,1.0000,0.0000,0.000000,-14.4360,-114.4360,10.0000,0.0000,0.000000,31.4028,-61.5972,10.0000,0.0000,0.000000
219,vikor,419,2,0.200,2,2,0,0.316308,0.227897,0.455795,4.5976,-90.4024,1.0000,0.0000,0.000000,-14.3923,-114.3923,10.0000,0.0000,0.000000,30.9396,-62.0604,0.0001,0.0000,0.000000
219,vikor,419,3,0.300,2,2,0,0.292092,0.204921,0.502987,4.6151,-90.3849,1.0000,0.0000,0.000000,-14.3485,-114.3485,10.0000,0.0000,0.000000,30.4311,-62.5689,0.0001,0.4915,0.000000
219,vikor,419,4,0.400,2,2,0,0.298884,0.202955,0.498161,4.6326,-90.3674,1.0000,0.0000,0.000000,-14.3046,-114.3046,10.0000,0.0000,0.000000,29.8894,-63.1106,0.5653,0.4915,0.000000
219,vikor,419,5,0.500,2,2,0,0.373775,0.200390,0.425835,4.6502,-90.3498,1.0004,2.0736,0.000000,-14.2605,-114.2605,10.0000,0.0000,0.000000,29.3251,-63.6749,0.8288,0.4915,0.000000
219,vikor,419,6,0.600,2,2,0,0.374221,0.200300,0.425479,4.6677,-90.3323,1.0004,2.1168,0.000000,-14.2163,-114.2163,10.0000,0.0000,0.000000,28.7471,-64.2529,0.8316,0.4915,0.000000
219,vikor,419,7,0.700,2,0,1,0.970486,0.009609,0.019905,4.6853,-90.3147,1.0004,2.0736,0.020408,-14.1720,-114.1720,8.4844,0.4752,0.083333,28.1626,-64.8374,2.0148,0.5325,0.027397
219,vikor,419,8,0.800,0,2,1,0.389182,0.205943,0.404875,4.7029,-90.2971,1.0004,2.1168,0.000000,-14.1276,-114.1276,8.5567,0.5184,0.000000,27.5772,-65.4228,2.0771,0.4915,0.000000
219,vikor,419,9,0.900,2,2,0,0.389739,0.205899,0.404363,4.7206,-90.2794,1.0004,2.1168,0.000000,-14.0830,-114.0830,8.4193,0.5184,0.000000,26.9953,-66.0047,2.0809,0.4915,0.000000
219,vikor,419,10,1.000,2,0,1,nan,nan,nan,4.7383,-90.2617,1.0004,2.1168,1.000000,-14.0383,-114.0383,8.5320,0.5184,0.000000,26.4201,-66.5799,2.1042,0.4915,1.000000
219,vikor,419,11,1.100,0,2,1,0.390920,0.206507,0.402573,4.7560,-90.2440,1.0004,2.1168,0.000000,-13.9935,-113.9935,8.4782,0.5616,0.000000,25.8540,-67.1460,2.1820,0.4915,0.000000
219,vikor,419,12,1.200,2,2,0,0.391092,0.205131,0.403777,4.7737,-90.2263,1.0004,2.1168,0.000000,-13.9485,-113.9485,8.4820,0.5184,0.000000,25.2987,-67.7013,2.0964,0.5325,0.000000
219,vikor,419,13,1.300,2,0,1,nan,nan,nan,4.7914,-90.2086,1.0004,2.0736,0.020408,-13.9034,-113.9034,8.5113,0.5184,0.000000,24.7553,-68.2447,2.0901,0.4915,0.013514
219,vikor,419,14,1.400,0,2,1,0.391881,0.205221,0.402898,4.8092,-90.1908,1.0004,2.1168,0.000000,-13.8582,-113.8582,8.5407,0.5184,0.000000,24.2245,-68.7755,2.1061,0.4915,0.000000
219,vikor,419,15,1.500,2,2,0,0.392312,0.205070,0.402618,4.8270,-90.1730,1.0004,2.1168,0.000000,-13.8128,-113.8128,8.4867,0.5184,0.000000,23.7066,-69.2934,2.0972,0.4915,0.000000
219,vikor,419,16,1.600,2,0,1,nan,nan,nan,4.8448,-90.1552,1.0004,2.1168,1.000000,-13.7673,-113.7673,8.5354,0.5616,0.000000,23.2019,-69.7981,2.1921,0.4915,1.000000
219,vikor,419,17,1.700,0,2,1,0.393286,0.204396,0.402318,4.8627,-90.1373,1.0004,2.1168,0.000000,-13.7217,-113.7217,8.5200,0.5184,0.000000,22.7104,-70.2896,2.1027,0.5325,0.000000
219,vikor,419,18,1.800,2,2,0,0.393536,0.204551,0.401913,4.8805,-90.1195,1.0004,2.1168,0.000000,-13.6759,-113.6759,8.4660,0.5184,0.000000,22.2318,-70.7682,2.0767,0.4915,0.000000
219,vikor,419,19,1.900,2,0,1,nan,nan,nan,4.8984,-90.1016,1.0004,2.0736,0.020408,-13.6300,-113.6300,8.4953,0.5184,0.000000,21.7659,-71.2341,2.1245,0.4915,0.013699
219,vikor,419,20,2.000,0,2,1,0.392603,0.208490,0.398907,4.9164,-90.0836,1.0004,2.1168,0.000000,-13.5840,-113.5840,8.5247,0.5184,0.000000,21.3125,-71.6875,2.1140,0.1229,0.000000
219,vikor,419,21,2.100,2,0,1,0.977101,0.009674,0.013225,4.9343,-90.0657,1.0004,2.1168,0.000000,-13.5378,-113.5378,8.4388,0.5616,0.000000,20.8711,-72.1289,2.4535,0.0000,0.121622
219,vikor,419,22,2.200,0,0,0,nan,nan,nan,4.9523,-90.0477,1.0004,2.1168,1.000000,-13.4915,-113.4915,8.5580,0.5184,0.000000,20.4413,-72.5587,2.4872,0.0000,0.152778
219,vikor,419,23,2.300,0,0,0,0.977118,0.009674,0.013208,4.9703,-90.0297,1.0004,2.1168,0.000000,-13.4450,-113.4450,8.5040,0.5184,0.000000,20.0229,-72.9771,2.4765,0.0000,0.175676
219,vikor,419,24,2.400,0,0,0,0.977138,0.009675,0.013187,4.9883,-90.0117,1.0004,2.1168,0.000000,-13.3984,-113.3984,8.4500,0.5184,0.000000,19.6152,-73.3848,2.4659,0.0000,0.164384
219,vikor,419,25,2.500,0,0,0,0.976983,0.009673,0.013344,5.0064,-89.9936,1.0004,2.0736,0.020408,-13.3517,-113.3517,8.5627,0.5184,0.000000,19.2181,-73.7819,2.5129,0.0000,0.178082
219,vikor,419,26,2.600,0,0,0,0.977245,0.009676,0.013079,5.0245,-89.9755,1.0004,2.1168,0.000000,-13.3048,-113.3048,8.4960,0.5616,0.000000,18.8310,-74.1690,2.5721,0.0000,0.162162
219,vikor,419,27,2.700,0,0,0,0.977198,0.009675,0.013127,5.0426,-89.9574,1.0004,2.1168,0.000000,-13.2578,-113.2578,8.5127,0.5184,0.000000,18.4536,-74.5464,2.4783,0.0000,0.164384
219,vikor,419,28,2.800,0,0,0,nan,nan,nan,5.0607,-89.9392,1.0004,2.1168,1.000000,-13.2106,-113.2106,8.5420,0.5184,0.000000,18.0854,-74.9146,2.4840,0.0000,0.164384
219,vikor,419,29,2.900,0,0,0,0.977237,0.009676,0.013088,5.0789,-89.9211,1.0004,2.1168,0.000000,-13.1633,-113.1633,8.4880,0.5184,0.000000,17.7262,-75.2738,2.4734,0.0000,0.164384
219,vikor,419,30,3.000,0,0,0,0.977256,0.009676,0.013069,5.0971,-89.9029,1.0004,2.1168,0.000000,-13.1158,-113.1158,8.4340,0.5184,0.000000,17.3756,-75.6244,2.4628,0.0000,0.164384
219,vikor,419,31,3.100,0,0,0,0.977178,0.009675,0.013147,5.1153,-89.8847,1.0004,2.0736,0.020408,-13.0682,-113.0682,8.5532,0.5616,0.000000,17.0332,-75.9668,2.6100,0.0000,0.175676
219,vikor,419,32,3.200,0,0,0,0.977293,0.009676,0.013031,5.1336,-89.8664,1.0004,2.1168,0.000000,-13.0204,-113.0204,8.4673,0.5184,0.000000,16.6986,-76.3014,2.4693,0.0000,0.175676
219,vikor,419,33,3.300,0,0,0,0.977311,0.009676,0.013013,5.1519,-89.8481,1.0004,2.1168,0.000000,-12.9725,-112.9725,8.4967,0.5184,0.000000,16.3717,-76.6283,2.4751,0.0000,0.164384
219,vikor,419,34,3.400,0,0,0,nan,nan,nan,5.1702,-89.8298,1.0004,2.1168,1.000000,-12.9245,-112.9245,8.5260,0.5184,0.000000,16.0521,-76.9479,2.4809,0.0000,0.152778
219,vikor,419,35,3.500,0,0,0,0.977411,0.009677,0.012912,5.1885,-89.8115,1.0004,2.1168,0.000000,-12.8763,-112.8763,8.5298,0.5616,0.000000,15.7395,-77.2605,2.5792,0.0000,0.162162
