run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
272,gra,472,0,0.000,0,2,1,0.355344,0.241746,0.402910,4.5215,-90.4785,1.0000,0.0000,0.000000,-14.5870,-114.5870,10.0000,0.0000,0.000000,31.3618,-61.6382,10.0000,0.0000,0.000000
272,gra,472,1,0.100,2,2,0,0.355449,0.241706,0.402844,4.5388,-90.4612,1.0000,0.0000,0.000000,-14.5437,-114.5437,10.0000,0.0000,0.000000,31.1727,-61.8273,10.0000,0.0000,0.000000
272,gra,472,2,0.200,2,2,0,0.316356,0.227881,0.455763,4.5562,-90.4438,1.0000,0.0000,0.000000,-14.5004,-114.5004,10.0000,0.0000,0.000000,30.9070,-62.0930,0.0001,0.0000,0.000000
272,gra,472,3,0.300,2,2,0,0.292027,0.204940,0.503033,4.5737,-90.4263,1.0000,0.0000,0.000000,-14.4569,-114.4569,10.0000,0.0000,0.000000,30.5740,-62.4260,0.0001,0.4915,0.000000
272,gra,472,4,0.400,2,2,0,0.297656,0.203310,0.499034,4.5911,-90.4089,1.0000,0.0000,0.000000,-14.4133,-114.4133,10.0000,0.0000,0.000000,30.1838,-62.8162,0.4827,0.4915,0.000000
272,gra,472,5,0.500,2,2,0,0.373548,0.200462,0.425989,4.6086,-90.3914,1.0004,2.0736,0.000000,-14.3696,-114.3696,10.0000,0.0000,0.000000,29.7472,-63.2528,0.8288,0.4915,0.000000
272,gra,472,6,0.600,2,2,0,0.373921,0.200396,0.425683,4.6261,-90.3739,1.0004,2.1168,0.000000,-14.3258,-114.3258,10.0000,0.0000,0.000000,29.2743,-63.7257,0.8316,0.4915,0.000000
272,gra,472,7,0.700,2,0,1,0.413702,0.174085,0.412212,4.6436,-90.3564,1.0004,2.0736,0.020408,-14.2818,-114.2818,8.4844,0.4752,0.083333,28.7745,-64.2255,2.0148,0.5325,0.027397
272,gra,472,8,0.800,0,2,1,0.388744,0.206078,0.405178,4.6612,-90.3388,1.0004,2.1168,0.000000,-14.2377,-114.2377,8.5567,0.5184,0.000000,28.2559,-64.7441,2.0750,0.4915,0.000000
272,gra,472,9,0.900,2,2,0,0.389264,0.206059,0.404677,4.6788,-90.3212,1.0004,2.1168,0.000000,-14.1935,-114.1935,8.4193,0.5184,0.000000,27.7253,-65.2747,2.0809,0.4915,0.000000
272,gra,472,10,1.000,2,2,0,0.364146,0.257194,0.378659,4.6964,-90.3036,1.0004,2.1168,1.000000,-14.1491,-114.1491,8.5320,0.5184,0.000000,27.1886,-65.8114,2.0994,0.4915,1.000000
