run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
32,laavha,232,0,0.000,0,0,0,0.999954,0.202034,0.000046,4.7423,-90.2577,1.0000,0.0000,0.000000,-14.0402,-114.0402,10.0000,0.0000,0.000000,28.6464,-64.3536,10.0000,0.0000,0.000000
32,laavha,232,1,0.100,0,0,0,0.999962,0.200815,0.000038,4.7600,-90.2400,1.0000,0.0000,0.000000,-13.9955,-113.9955,10.0000,0.0000,0.000000,27.8384,-65.1616,10.0000,0.0000,0.000000
32,laavha,232,2,0.200,0,0,0,0.999991,0.000005,0.541994,4.7777,-90.2223,1.0000,0.0000,0.000000,-13.9506,-113.9506,10.0000,0.0000,0.000000,27.0742,-65.9258,0.0001,0.0000,0.000000
32,laavha,232,3,0.300,0,0,0,0.999984,0.000003,0.544389,4.7954,-90.2046,1.0000,0.0000,0.000000,-13.9056,-113.9056,10.0000,0.0000,0.000000,26.3498,-66.6502,0.0001,0.4915,0.000000
32,laavha,232,4,0.400,0,0,0,0.999986,0.000003,0.533803,4.8132,-90.1868,1.0000,0.0000,0.000000,-13.8604,-113.8604,10.0000,0.0000,0.000000,25.6614,-67.3386,0.3526,0.4915,0.000000
32,laavha,232,5,0.500,0,0,0,1.000000,0.000000,0.518623,4.8310,-90.1690,1.0004,2.0736,0.000000,-13.8151,-113.8151,10.0000,0.0000,0.000000,25.0059,-67.9941,0.8376,0.4915,0.000000
32,laavha,232,6,0.600,0,0,0,1.000000,0.000000,0.523898,4.8488,-90.1512,1.0004,2.1168,0.000000,-13.7697,-113.7697,10.0000,0.0000,0.000000,24.3803,-68.6197,0.8402,0.4915,0.000000
32,laavha,232,7,0.700,0,0,0,1.000000,0.000000,0.428304,4.8667,-90.1333,1.0004,2.0736,0.020408,-13.7242,-113.7242,8.4844,0.4752,0.083333,23.7823,-69.2177,2.0223,0.5325,0.027397
32,laavha,232,8,0.800,0,0,0,1.000000,0.000000,0.436631,4.8845,-90.1155,1.0004,2.1168,0.000000,-13.6785,-113.6785,8.5567,0.5184,0.000000,23.2096,-69.7904,2.0827,0.4915,0.000000
32,laavha,232,9,0.900,0,0,0,1.000000,0.000000,0.454323,4.9024,-90.0976,1.0004,2.1168,0.000000,-13.6327,-113.6327,8.4193,0.5184,0.000000,22.6602,-70.3398,2.0861,0.4915,0.000000
32,laavha,232,10,1.000,0,0,0,1.000000,0.000000,0.490224,4.9204,-90.0796,1.0004,2.1168,1.000000,-13.5867,-113.5867,8.5320,0.5184,0.000000,22.1323,-70.8677,2.1134,0.4915,1.000000
32,laavha,232,11,1.100,0,0,0,1.000000,0.000001,0.619759,4.9383,-90.0617,1.0004,2.1168,0.000000,-13.5406,-113.5406,8.4782,0.5616,0.000000,21.6244,-71.3756,2.1924,0.4915,0.000000
32,laavha,232,12,1.200,0,0,0,1.000000,0.000003,0.678256,4.9563,-90.0437,1.0004,2.1168,0.000000,-13.4944,-113.4944,8.4820,0.5184,0.000000,21.1350,-71.8650,2.1069,0.0000,0.000000
32,laavha,232,13,1.300,0,0,0,1.000000,0.000003,0.682934,4.9743,-90.0257,1.0004,2.0736,0.020408,-13.4480,-113.4480,8.5113,0.5184,0.000000,20.6630,-72.3371,2.5026,0.0000,0.189189
32,laavha,232,14,1.400,0,0,0,1.000000,0.000003,0.708037,4.9923,-90.0077,1.0004,2.1168,0.000000,-13.4015,-113.4015,8.5407,0.5184,0.000000,20.2070,-72.7930,2.4838,0.0000,0.164384
32,laavha,232,15,1.500,0,0,0,1.000000,0.000002,0.719012,5.0104,-89.9896,1.0004,2.1168,0.000000,-13.3548,-113.3548,8.4867,0.5184,0.000000,19.7662,-73.2338,2.4731,0.0000,0.164384
32,laavha,232,16,1.600,0,0,0,1.000000,0.000002,0.703900,5.0285,-89.9715,1.0004,2.1168,1.000000,-13.3080,-113.3080,8.5354,0.5616,0.000000,19.3395,-73.6605,2.5803,0.0000,0.150685
32,laavha,232,17,1.700,0,0,0,1.000000,0.000002,0.720715,5.0466,-89.9534,1.0004,2.1168,0.000000,-13.2611,-113.2611,8.5200,0.5184,0.000000,18.9261,-74.0739,2.4797,0.0000,0.164384
32,laavha,232,18,1.800,0,0,0,1.000000,0.000002,0.728855,5.0647,-89.9353,1.0004,2.1168,0.000000,-13.2140,-113.2140,8.4660,0.5184,0.000000,18.5252,-74.4748,2.4691,0.0000,0.175676
32,laavha,232,19,1.900,0,0,0,1.000000,0.000002,0.736927,5.0829,-89.9171,1.0004,2.0736,0.020408,-13.1668,-113.1668,8.4953,0.5184,0.000000,18.1360,-74.8640,2.4994,0.0000,0.178082
32,laavha,232,20,2.000,0,0,0,1.000000,0.000002,0.749691,5.1011,-89.8989,1.0004,2.1168,0.000000,-13.1194,-113.1194,8.5247,0.5184,0.000000,17.7580,-75.2420,2.4806,0.0000,0.164384
32,laavha,232,21,2.100,0,0,0,1.000000,0.000002,0.755704,5.1193,-89.8807,1.0004,2.1168,0.000000,-13.0719,-113.0719,8.4388,0.5616,0.000000,17.3905,-75.6095,2.5601,0.0000,0.162162
32,laavha,232,22,2.200,0,0,0,1.000000,0.000002,0.776477,5.1376,-89.8624,1.0004,2.1168,1.000000,-13.0243,-113.0243,8.5580,0.5184,0.000000,17.0329,-75.9671,2.4872,0.0000,0.152778
32,laavha,232,23,2.300,0,0,0,1.000000,0.000002,0.793664,5.1558,-89.8442,1.0004,2.1168,0.000000,-12.9764,-112.9764,8.5040,0.5184,0.000000,16.6847,-76.3153,2.4765,0.0000,0.175676
32,laavha,232,24,2.400,0,0,0,1.000000,0.000002,0.809571,5.1742,-89.8259,1.0004,2.1168,0.000000,-12.9285,-112.9285,8.4500,0.5184,0.000000,16.3456,-76.6544,2.4659,0.0000,0.164384
32,laavha,232,25,2.500,0,0,0,1.000000,0.000001,0.822122,5.1925,-89.8075,1.0004,2.0736,0.020408,-12.8804,-112.8804,8.5627,0.5184,0.000000,16.0149,-76.9851,2.5129,0.0000,0.178082
32,laavha,232,26,2.600,0,0,0,1.000000,0.000001,0.826030,5.2108,-89.7892,1.0004,2.1168,0.000000,-12.8321,-112.8321,8.4960,0.5616,0.000000,15.6923,-77.3077,2.5721,0.0000,0.162162
32,laavha,232,27,2.700,0,0,0,1.000000,0.000001,0.845091,5.2292,-89.7708,1.0004,2.1168,0.000000,-12.7837,-112.7837,8.5127,0.5184,0.000000,15.3774,-77.6226,2.4783,0.0000,0.164384
32,laavha,232,28,2.800,0,0,0,1.000000,0.000001,0.857281,5.2476,-89.7524,1.0004,2.1168,1.000000,-12.7352,-112.7352,8.5420,0.5184,0.000000,15.0699,-77.9301,2.4840,0.0000,0.164384
32,laavha,232,29,2.900,0,0,0,1.000000,0.000001,0.866893,5.2661,-89.7339,1.0004,2.1168,0.000000,-12.6864,-112.6864,8.4880,0.5184,0.000000,14.7694,-78.2306,2.4734,0.0000,0.164384
32,laavha,232,30,3.000,0,0,0,1.000000,0.000001,0.874732,5.2846,-89.7154,1.0004,2.1168,0.000000,-12.6376,-112.6376,8.4340,0.5184,0.000000,14.4756,-78.5244,2.4628,0.0000,0.164384
32,laavha,232,31,3.100,0,0,0,1.000000,0.000001,0.871817,5.3031,-89.6969,1.0004,2.0736,0.020408,-12.5886,-112.5886,8.5532,0.5616,0.000000,14.1882,-78.8118,2.6100,0.0000,0.175676
32,laavha,232,32,3.200,0,0,0,1.000000,0.000001,0.882630,5.3216,-89.6784,1.0004,2.1168,0.000000,-12.5394,-112.5394,8.4673,0.5184,0.000000,13.9070,-79.0930,2.4693,0.0000,0.175676
32,laavha,232,33,3.300,0,0,0,1.000000,0.000001,0.886650,5.3401,-89.6599,1.0004,2.1168,0.000000,-12.4900,-112.4900,8.4967,0.5184,0.000000,13.6317,-79.3683,2.4751,0.0000,0.164384
32,laavha,232,34,3.400,0,0,0,1.000000,0.000001,0.892251,5.3587,-89.6413,1.0004,2.1168,1.000000,-12.4405,-112.4405,8.5260,0.5184,0.000000,13.3620,-79.6380,2.4809,0.0000,0.152778
32,laavha,232,35,3.500,0,0,0,1.000000,0.000001,0.888008,5.3773,-89.6227,1.0004,2.1168,0.000000,-12.3909,-112.3909,8.5298,0.5616,0.000000,13.0978,-79.9022,2.5792,0.0000,0.162162
32,laavha,232,36,3.600,0,0,0,1.000000,0.000001,0.898598,5.3960,-89.6040,1.0004,2.1168,0.000000,-12.3411,-112.3411,8.4760,0.5184,0.000000,12.8387,-80.1613,2.4710,0.0000,0.164384
32,laavha,232,37,3.700,0,0,0,1.000000,0.000001,0.898761,5.4146,-89.5854,1.0004,2.0736,0.020408,-12.2911,-112.2911,8.5887,0.5184,0.000000,12.5847,-80.4153,2.5181,0.0000,0.189189
32,laavha,232,38,3.800,0,0,0,1.000000,0.000001,0.898524,5.4333,-89.5667,1.0004,2.1168,0.000000,-12.2410,-112.2410,8.4513,0.5184,0.000000,12.3355,-80.6645,2.4662,0.0000,0.164384
32,laavha,232,39,3.900,0,0,0,1.000000,0.000001,0.902106,5.4521,-89.5480,1.0004,2.1168,1.000000,-12.1907,-112.1907,8.4807,0.5184,0.000000,12.0910,-80.9090,2.4720,0.0000,0.152778
32,laavha,232,40,4.000,0,0,0,1.000000,0.000001,0.896122,5.4708,-89.5292,1.0004,2.1168,0.000000,-12.1402,-112.1402,8.5102,0.5616,0.000000,11.8509,-81.1491,2.5751,0.0000,0.162162
32,laavha,232,41,4.100,0,0,0,1.000000,0.000001,0.905203,5.4896,-89.5104,1.0004,2.1168,0.000000,-12.0896,-112.0896,8.5140,0.5184,0.000000,11.6152,-81.3848,2.4785,0.0000,0.164384
32,laavha,232,42,4.200,0,0,0,1.000000,0.000000,0.904272,5.5084,-89.4916,1.0004,2.0736,0.020408,-12.0388,-112.0388,8.4600,0.5184,0.000000,11.3836,-81.6164,2.4923,0.0000,0.189189
32,laavha,232,43,4.300,0,0,0,1.000000,0.000000,0.907285,5.5272,-89.4728,1.0004,2.1168,0.000000,-11.9878,-111.9878,8.5727,0.5184,0.000000,11.1561,-81.8439,2.4901,0.0000,0.164384
32,laavha,232,44,4.400,0,0,0,1.000000,0.000000,0.904147,5.5461,-89.4539,1.0004,2.1168,0.000000,-11.9367,-111.9367,8.4353,0.5184,0.000000,10.9324,-82.0676,2.4630,0.0000,0.164384
32,laavha,232,45,4.500,0,0,0,1.000000,0.000000,0.899135,5.5650,-89.4350,1.0004,2.1168,1.000000,-11.8854,-111.8854,8.5674,0.5616,0.000000,10.7125,-82.2875,2.5871,0.0000,0.150685
32,laavha,232,46,4.600,0,0,0,1.000000,0.000000,0.908726,5.5839,-89.4161,1.0004,2.1168,0.000000,-11.8339,-111.8339,8.4687,0.5184,0.000000,10.4962,-82.5038,2.4696,0.0000,0.164384
32,laavha,232,47,4.700,0,0,0,1.000000,0.000000,0.909670,5.6029,-89.3971,1.0004,2.1168,0.000000,-11.7823,-111.7823,8.4980,0.5184,0.000000,10.2835,-82.7165,2.4754,0.0000,0.175676
32,laavha,232,48,4.800,0,0,0,1.000000,0.000000,0.908757,5.6219,-89.3781,1.0004,2.0736,0.020408,-11.7305,-111.7305,8.5273,0.5184,0.000000,10.0741,-82.9259,2.5058,0.0000,0.178082
32,laavha,232,49,4.900,0,0,0,1.000000,0.000000,0.907726,5.6409,-89.3591,1.0004,2.1168,0.000000,-11.6785,-111.6785,8.5567,0.5184,0.000000,9.8680,-83.1320,2.4869,0.0000,0.164384
32,laavha,232,50,5.000,0,0,0,1.000000,0.000000,0.900569,5.6599,-89.3401,1.0004,2.1168,0.000000,-11.6263,-111.6263,8.3938,0.5616,0.000000,9.6652,-83.3348,2.5507,0.0000,0.162162
32,laavha,232,51,5.100,0,0,0,1.000000,0.000000,0.912050,5.6740,-89.3260,1.0004,2.1168,1.000000,-11.5889,-111.5889,8.5900,0.5184,0.000000,9.5118,-83.4882,2.4935,0.0000,0.152778
32,laavha,232,52,5.200,0,0,0,1.000000,0.000000,0.914194,5.6880,-89.3120,1.0004,2.1168,0.000000,-11.5514,-111.5514,8.4527,0.5184,0.000000,9.3601,-83.6399,2.4664,0.0000,0.175676
32,laavha,232,53,5.300,0,0,0,1.000000,0.000000,0.915906,5.7020,-89.2980,1.0004,2.1168,0.000000,-11.5138,-111.5138,8.4820,0.5184,0.000000,9.2101,-83.7899,2.4722,0.0000,0.164384
32,laavha,232,54,5.400,0,0,0,1.000000,0.000000,0.915715,5.7161,-89.2839,1.0004,2.0736,0.020408,-11.4762,-111.4762,8.5113,0.5184,0.000000,9.0616,-83.9384,2.5026,0.0000,0.178082
32,laavha,232,55,5.500,0,0,0,1.000000,0.000000,0.907073,5.7301,-89.2699,1.0004,2.1168,0.000000,-11.4385,-111.4385,8.5280,0.5616,0.000000,8.9148,-84.0852,2.5788,0.0000,0.162162
32,laavha,232,56,5.600,0,0,0,1.000000,0.000000,0.916742,5.7442,-89.2558,1.0004,2.1168,0.000000,-11.4007,-111.4007,8.4613,0.5184,0.000000,8.7694,-84.2306,2.4682,0.0000,0.164384
32,laavha,232,57,5.700,0,0,0,1.000000,0.000000,0.920684,5.7583,-89.2417,1.0004,2.1168,1.000000,-11.3628,-111.3628,8.5740,0.5184,0.000000,8.6256,-84.3744,2.4903,0.0000,0.164384
32,laavha,232,58,5.800,0,0,0,1.000000,0.000000,0.922957,5.7724,-89.2276,1.0004,2.1168,0.000000,-11.3249,-111.3249,8.5200,0.5184,0.000000,8.4832,-84.5168,2.4797,0.0000,0.164384
32,laavha,232,59,5.900,0,0,0,1.000000,0.000000,0.924546,5.7865,-89.2135,1.0004,2.1168,0.000000,-11.2869,-111.2869,8.4660,0.5184,0.000000,8.3423,-84.6577,2.4691,0.0000,0.164384
32,laavha,232,60,6.000,0,0,0,1.000000,0.000000,0.915612,5.8006,-89.1993,1.0004,2.0736,0.020408,-11.2488,-111.2488,8.5083,0.5616,0.000000,8.2028,-84.7972,2.6005,0.0000,0.175676
32,laavha,232,61,6.100,0,0,0,1.000000,0.000000,0.923001,5.8148,-89.1852,1.0004,2.1168,0.000000,-11.2107,-111.2107,8.4993,0.5184,0.000000,8.0647,-84.9353,2.4756,0.0000,0.175676
32,laavha,232,62,6.200,0,0,0,1.000000,0.000000,0.924262,5.8290,-89.1710,1.0004,2.1168,0.000000,-11.1725,-111.1725,8.4453,0.5184,0.000000,7.9280,-85.0720,2.4650,0.0000,0.164384
