run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
343,copras,543,0,0.000,0,0,0,0.534723,0.000798,0.464479,4.6709,-90.3291,1.0000,0.0000,0.000000,-14.2202,-114.2202,10.0000,0.0000,0.000000,31.2751,-61.7249,10.0000,0.0000,0.000000
343,copras,543,1,0.100,0,0,0,0.537237,0.000795,0.461968,4.6884,-90.3116,1.0000,0.0000,0.000000,-14.1759,-114.1759,10.0000,0.0000,0.000000,30.3981,-62.6019,10.0000,0.0000,0.000000
343,copras,543,2,0.200,0,2,1,0.210336,0.000790,0.788874,4.7061,-90.2939,1.0000,0.0000,0.000000,-14.1316,-114.1316,10.0000,0.0000,0.000000,29.5587,-63.4413,0.0001,0.0000,0.000000
343,copras,543,3,0.300,2,2,0,0.159817,0.000840,0.839343,4.7237,-90.2763,1.0000,0.0000,0.000000,-14.0871,-114.0871,10.0000,0.0000,0.000000,28.7565,-64.2435,0.0001,0.4915,0.000000
343,copras,543,4,0.400,2,2,0,0.163038,0.000837,0.836125,4.7414,-90.2586,1.0000,0.0000,0.000000,-14.0425,-114.0425,10.0000,0.0000,0.000000,27.9900,-65.0100,0.3971,0.4915,0.000000
343,copras,543,5,0.500,2,2,0,0.375340,0.000779,0.623881,4.7591,-90.2409,1.0004,2.0736,0.000000,-13.9977,-113.9977,10.0000,0.0000,0.000000,27.2577,-65.7423,0.8312,0.4915,0.000000
343,copras,543,6,0.600,2,2,0,0.378189,0.000777,0.621034,4.7768,-90.2232,1.0004,2.1168,0.000000,-13.9528,-113.9528,10.0000,0.0000,0.000000,26.5575,-66.4425,0.8360,0.4915,0.000000
343,copras,543,7,0.700,2,0,1,0.720470,0.000859,0.278671,4.7945,-90.2055,1.0004,2.0736,0.020408,-13.9078,-113.9078,8.4844,0.4752,0.083333,25.8875,-67.1125,2.0223,0.5325,0.027397
343,copras,543,8,0.800,0,0,0,0.659320,0.004650,0.336030,4.8123,-90.1877,1.0004,2.1168,0.000000,-13.8627,-113.8627,8.5567,0.5184,0.000000,25.2459,-67.7541,2.0827,0.4915,0.000000
343,copras,543,9,0.900,0,0,0,0.660955,0.004649,0.334397,4.8301,-90.1699,1.0004,2.1168,0.000000,-13.8174,-113.8174,8.4193,0.5184,0.000000,24.6306,-68.3694,2.0861,0.4915,0.000000
