run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
354,spotis,554,0,0.000,0,2,1,0.407546,0.150302,0.442152,4.2565,-90.7435,1.0000,0.0000,0.000000,-15.2425,-115.2425,10.0000,0.0000,0.000000,29.3283,-63.6716,10.0000,0.0000,0.000000
354,spotis,554,1,0.100,2,2,0,0.403900,0.151227,0.444872,4.2735,-90.7265,1.0000,0.0000,0.000000,-15.2011,-115.2011,10.0000,0.0000,0.000000,30.2268,-62.7732,10.0000,0.0000,0.000000
354,spotis,554,2,0.200,2,2,0,0.023178,0.009577,0.967245,4.2905,-90.7095,1.0000,0.0000,0.000000,-15.1596,-115.1596,10.0000,0.0000,0.000000,31.1838,-61.8162,0.0001,0.0000,0.000000
354,spotis,554,3,0.300,2,2,0,0.017076,0.009637,0.973287,4.3076,-90.6924,1.0000,0.0000,0.000000,-15.1180,-115.1180,10.0000,0.0000,0.000000,32.2059,-60.7941,0.0001,0.4915,0.000000
354,spotis,554,4,0.400,2,2,0,0.017217,0.009635,0.973148,4.3246,-90.6754,1.0000,0.0000,0.000000,-15.0762,-115.0762,10.0000,0.0000,0.000000,33.3001,-59.6999,0.3993,0.4915,0.000000
354,spotis,554,5,0.500,2,2,0,0.351470,0.107526,0.541004,4.3417,-90.6582,1.0004,2.0736,0.000000,-15.0344,-115.0344,10.0000,0.0000,0.000000,34.4735,-58.5265,0.8288,0.4915,0.000000
354,spotis,554,6,0.600,2,2,0,0.349118,0.108458,0.542424,4.3589,-90.6411,1.0004,2.1168,0.000000,-14.9924,-114.9924,10.0000,0.0000,0.000000,35.7328,-57.2672,0.8316,0.4915,0.000000
354,spotis,554,7,0.700,2,2,0,0.443398,0.111199,0.445403,4.3760,-90.6240,1.0004,2.0736,0.020408,-14.9503,-114.9503,8.4844,0.4752,0.083333,37.0817,-55.9183,2.0148,0.5325,0.027397
354,spotis,554,8,0.800,2,2,0,0.417173,0.132360,0.450467,4.3932,-90.6068,1.0004,2.1168,0.000000,-14.9081,-114.9081,8.5567,0.5184,0.000000,38.5175,-54.4825,2.0750,0.4915,0.000000
354,spotis,554,9,0.900,2,2,0,0.413897,0.133379,0.452724,4.4104,-90.5896,1.0004,2.1168,0.000000,-14.8658,-114.8658,8.4193,0.5184,0.000000,40.0233,-52.9767,2.0789,0.4915,0.000000
354,spotis,554,10,1.000,2,2,0,0.379368,0.218762,0.401871,4.4276,-90.5724,1.0004,2.1168,1.000000,-14.8234,-114.8234,8.5320,0.5184,0.000000,41.5539,-51.4461,2.0974,0.4915,1.000000
354,spotis,554,11,1.100,2,2,0,0.408568,0.136309,0.455123,4.4448,-90.5552,1.0004,2.1168,0.000000,-14.7809,-114.7809,8.4782,0.5616,0.000000,43.0139,-49.9861,2.1749,0.4915,0.000000
354,spotis,554,12,1.200,2,2,0,0.403421,0.134568,0.462011,4.4621,-90.5379,1.0004,2.1168,0.000000,-14.7382,-114.7382,8.4820,0.5184,0.000000,44.2359,-48.7641,2.0892,0.5325,0.000000
354,spotis,554,13,1.300,2,2,0,0.349467,0.205039,0.445494,4.4794,-90.5206,1.0004,2.0736,0.020408,-14.6954,-114.6954,8.5113,0.5184,0.000000,44.9923,-48.0077,2.0822,0.4915,0.013514
354,spotis,554,14,1.400,2,2,0,0.402828,0.135924,0.461247,4.4967,-90.5033,1.0004,2.1168,0.000000,-14.6525,-114.6525,8.5407,0.5184,0.000000,45.0875,-47.9125,2.0988,0.4915,0.000000
354,spotis,554,15,1.500,2,2,0,0.403895,0.135670,0.460435,4.5141,-90.4859,1.0004,2.1168,0.000000,-14.6095,-114.6095,8.4867,0.5184,0.000000,44.4933,-48.5067,2.0899,0.4915,0.000000
354,spotis,554,16,1.600,2,2,0,0.377260,0.221193,0.401547,4.5314,-90.4686,1.0004,2.1168,1.000000,-14.5663,-114.5663,8.5354,0.5616,0.000000,43.3722,-49.6278,2.1849,0.4915,1.000000
354,spotis,554,17,1.700,2,2,0,0.407860,0.133575,0.458565,4.5488,-90.4512,1.0004,2.1168,0.000000,-14.5231,-114.5231,8.5200,0.5184,0.000000,41.9562,-51.0438,2.0954,0.5325,0.000000
354,spotis,554,18,1.800,2,2,0,0.411829,0.133552,0.454618,4.5662,-90.4338,1.0004,2.1168,0.000000,-14.4797,-114.4797,8.4660,0.5184,0.000000,40.4324,-52.5676,2.0603,0.4915,0.000000
354,spotis,554,19,1.900,2,2,0,0.357464,0.203459,0.439077,4.5837,-90.4163,1.0004,2.0736,0.020408,-14.4362,-114.4362,8.4953,0.5184,0.000000,38.9139,-54.0861,2.1065,0.4915,0.013699
354,spotis,554,20,2.000,2,2,0,0.419745,0.132071,0.448185,4.6011,-90.3989,1.0004,2.1168,0.000000,-14.3925,-114.3925,8.5247,0.5184,0.000000,37.4569,-55.5431,2.0962,0.4915,0.000000
354,spotis,554,21,2.100,2,2,0,0.424924,0.132531,0.442545,4.6186,-90.3814,1.0004,2.1168,0.000000,-14.3488,-114.3488,8.4388,0.5616,0.000000,36.0841,-56.9159,2.1680,0.4915,0.000000
354,spotis,554,22,2.200,2,2,0,0.388251,0.214503,0.397246,4.6362,-90.3638,1.0004,2.1168,1.000000,-14.3049,-114.3049,8.5580,0.5184,0.000000,34.8012,-58.1988,2.1017,0.5325,1.000000
354,spotis,554,23,2.300,2,2,0,0.430432,0.129337,0.440231,4.6537,-90.3463,1.0004,2.1168,0.000000,-14.2609,-114.2609,8.5040,0.5184,0.000000,33.6054,-59.3946,2.0664,0.4915,0.000000
354,spotis,554,24,2.400,2,2,0,0.434685,0.128654,0.436661,4.6713,-90.3287,1.0004,2.1168,0.000000,-14.2168,-114.2168,8.4500,0.5184,0.000000,32.4907,-60.5093,2.0839,0.4915,0.000000
354,spotis,554,25,2.500,2,2,0,0.369085,0.199792,0.431124,4.6889,-90.3111,1.0004,2.0736,0.020408,-14.1725,-114.1725,8.5627,0.5184,0.000000,31.4501,-61.5499,2.1177,0.4915,0.013699
354,spotis,554,26,2.600,2,0,1,0.443508,0.128260,0.428232,4.7065,-90.2935,1.0004,2.1168,0.000000,-14.1281,-114.1281,8.4960,0.5616,0.000000,30.4764,-62.5236,2.1780,0.4915,0.000000
354,spotis,554,27,2.700,0,0,0,0.444478,0.125313,0.430209,4.7241,-90.2759,1.0004,2.1168,0.000000,-14.0836,-114.0836,8.5127,0.5184,0.000000,29.5629,-63.4371,2.0942,0.5325,0.000000
354,spotis,554,28,2.800,0,0,0,0.399759,0.211357,0.388884,4.7418,-90.2582,1.0004,2.1168,1.000000,-14.0389,-114.0389,8.5420,0.5184,0.000000,28.7035,-64.2965,2.0726,0.4915,1.000000
354,spotis,554,29,2.900,0,0,0,0.452855,0.124529,0.422616,4.7595,-90.2405,1.0004,2.1168,0.000000,-13.9942,-113.9942,8.4880,0.5184,0.000000,27.8930,-65.1070,2.0903,0.4915,0.000000
354,spotis,554,30,3.000,0,0,0,0.456443,0.123721,0.419836,4.7772,-90.2228,1.0004,2.1168,0.000000,-13.9493,-113.9493,8.4340,0.5184,0.000000,27.1265,-65.8735,2.0833,0.4915,0.000000
