run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
441,strongest-signal,641,0,0.000,0,2,1,0.111205,-0.354877,1.000000,4.5502,-90.4498,1.0000,0.0000,0.000000,-14.5205,-114.5205,10.0000,0.0000,0.000000,40.9170,-52.0830,10.0000,0.0000,0.000000
441,strongest-signal,641,1,0.100,2,2,0,0.115437,-0.365882,1.000000,4.5676,-90.4324,1.0000,0.0000,0.000000,-14.4771,-114.4771,10.0000,0.0000,0.000000,39.5677,-53.4323,10.0000,0.0000,0.000000
441,strongest-signal,641,2,0.200,2,2,0,0.120038,-0.377879,1.000000,4.5850,-90.4150,1.0000,0.0000,0.000000,-14.4336,-114.4336,10.0000,0.0000,0.000000,38.1964,-54.8036,0.0001,0.0000,0.000000
441,strongest-signal,641,3,0.300,2,2,0,0.124871,-0.390417,1.000000,4.6025,-90.3975,1.0000,0.0000,0.000000,-14.3900,-114.3900,10.0000,0.0000,0.000000,36.8579,-56.1421,0.0001,0.4915,0.000000
441,strongest-signal,641,4,0.400,2,2,0,0.129851,-0.403220,1.000000,4.6200,-90.3800,1.0000,0.0000,0.000000,-14.3462,-114.3462,10.0000,0.0000,0.000000,35.5791,-57.4209,0.5615,0.4915,0.000000
441,strongest-signal,641,5,0.500,2,2,0,0.134926,-0.416121,1.000000,4.6375,-90.3625,1.0004,2.0736,0.000000,-14.3023,-114.3023,10.0000,0.0000,0.000000,34.3705,-58.6295,0.8288,0.4915,0.000000
441,strongest-signal,641,6,0.600,2,2,0,0.140068,-0.429027,1.000000,4.6550,-90.3450,1.0004,2.1168,0.000000,-14.2583,-114.2583,10.0000,0.0000,0.000000,33.2340,-59.7660,0.8316,0.4915,0.000000
441,strongest-signal,641,7,0.700,2,2,0,0.145260,-0.441885,1.000000,4.6726,-90.3274,1.0004,2.0736,0.020408,-14.2142,-114.2142,8.4844,0.4752,0.083333,32.1671,-60.8329,2.0148,0.5325,0.027397
441,strongest-signal,641,8,0.800,2,2,0,0.150494,-0.454669,1.000000,4.6902,-90.3098,1.0004,2.1168,0.000000,-14.1699,-114.1699,8.5567,0.5184,0.000000,31.1653,-61.8347,2.0750,0.4915,0.000000
441,strongest-signal,641,9,0.900,2,2,0,0.155767,-0.467368,1.000000,4.7078,-90.2922,1.0004,2.1168,0.000000,-14.1255,-114.1255,8.4193,0.5184,0.000000,30.2235,-62.7765,2.0789,0.4915,0.000000
441,strongest-signal,641,10,1.000,2,2,0,0.161078,-0.479981,1.000000,4.7255,-90.2745,1.0004,2.1168,1.000000,-14.0810,-114.0810,8.5320,0.5184,0.000000,29.3365,-63.6635,2.0974,0.4915,1.000000
441,strongest-signal,641,11,1.100,2,2,0,0.166429,-0.492513,1.000000,4.7431,-90.2569,1.0004,2.1168,0.000000,-14.0363,-114.0363,8.4782,0.5616,0.000000,28.4995,-64.5005,2.1749,0.4915,0.000000
441,strongest-signal,641,12,1.200,2,2,0,0.171823,-0.504969,1.000000,4.7608,-90.2392,1.0004,2.1168,0.000000,-13.9916,-113.9916,8.4820,0.5184,0.000000,27.7078,-65.2922,2.0897,0.5325,0.000000
441,strongest-signal,641,13,1.300,2,2,0,0.177263,-0.517359,1.000000,4.7785,-90.2215,1.0004,2.0736,0.020408,-13.9467,-113.9467,8.5113,0.5184,0.000000,26.9574,-66.0426,2.0844,0.4915,0.013514
441,strongest-signal,641,14,1.400,2,2,0,0.182753,-0.529693,1.000000,4.7963,-90.2037,1.0004,2.1168,0.000000,-13.9016,-113.9016,8.5407,0.5184,0.000000,26.2447,-66.7553,2.1047,0.4915,0.000000
441,strongest-signal,641,15,1.500,2,2,0,0.188297,-0.541980,1.000000,4.8141,-90.1859,1.0004,2.1168,0.000000,-13.8564,-113.8564,8.4867,0.5184,0.000000,25.5663,-67.4337,2.0972,0.4915,0.000000
441,strongest-signal,641,16,1.600,2,2,0,0.193899,-0.554231,1.000000,4.8319,-90.1681,1.0004,2.1168,1.000000,-13.8111,-113.8111,8.5354,0.5616,0.000000,24.9194,-68.0806,2.1921,0.4915,1.000000
441,strongest-signal,641,17,1.700,2,2,0,0.199564,-0.566456,1.000000,4.8497,-90.1503,1.0004,2.1168,0.000000,-13.7657,-113.7657,8.5200,0.5184,0.000000,24.3014,-68.6986,2.1027,0.5325,0.000000
441,strongest-signal,641,18,1.800,2,2,0,0.205295,-0.578665,1.000000,4.8675,-90.1325,1.0004,2.1168,0.000000,-13.7201,-113.7201,8.4660,0.5184,0.000000,23.7100,-69.2900,2.0680,0.4915,0.000000
441,strongest-signal,641,19,1.900,2,2,0,0.211097,-0.590867,1.000000,4.8854,-90.1146,1.0004,2.0736,0.020408,-13.6744,-113.6744,8.4953,0.5184,0.000000,23.1430,-69.8570,2.1139,0.4915,0.013699
441,strongest-signal,641,20,2.000,2,2,0,0.216974,-0.603070,1.000000,4.9033,-90.0967,1.0004,2.1168,0.000000,-13.6286,-113.6286,8.5247,0.5184,0.000000,22.5986,-70.4014,2.1034,0.4915,0.000000
441,strongest-signal,641,21,2.100,2,2,0,0.222930,-0.615285,1.000000,4.9213,-90.0788,1.0004,2.1168,0.000000,-13.5826,-113.5826,8.4388,0.5616,0.000000,22.0753,-70.9247,2.1846,0.4915,0.000000
441,strongest-signal,641,22,2.200,2,2,0,0.228970,-0.627520,1.000000,4.9392,-90.0608,1.0004,2.1168,1.000000,-13.5365,-113.5365,8.5580,0.5184,0.000000,21.5714,-71.4286,2.1194,0.4506,1.000000
441,strongest-signal,641,23,2.300,2,2,0,0.235098,-0.639782,1.000000,4.9572,-90.0428,1.0004,2.1168,0.000000,-13.4902,-113.4902,8.5040,0.5184,0.000000,21.0856,-71.9144,2.1364,0.0000,0.027027
441,strongest-signal,641,24,2.400,2,2,0,0.241317,-0.652080,1.000000,4.9752,-90.0248,1.0004,2.1168,0.000000,-13.4438,-113.4438,8.4500,0.5184,0.000000,20.6168,-72.3832,2.4659,0.0000,0.164384
441,strongest-signal,641,25,2.500,2,2,0,0.247633,-0.664423,1.000000,4.9932,-90.0068,1.0004,2.0736,0.020408,-13.3973,-113.3973,8.5627,0.5184,0.000000,20.1638,-72.8362,2.5129,0.0000,0.178082
441,strongest-signal,641,26,2.600,2,2,0,0.254050,-0.676816,1.000000,5.0113,-89.9887,1.0004,2.1168,0.000000,-13.3506,-113.3506,8.4960,0.5616,0.000000,19.7256,-73.2744,2.5721,0.0000,0.162162
441,strongest-signal,641,27,2.700,2,2,0,0.260572,-0.689269,1.000000,5.0294,-89.9706,1.0004,2.1168,0.000000,-13.3038,-113.3038,8.5127,0.5184,0.000000,19.3013,-73.6987,2.4783,0.0000,0.164384
