run_index,algorithm,seed,decision_index,sim_time,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
66,topsis-q,266,0,0.000,0,0,0,0.774755,0.000000,0.357249,4.3551,-90.6449,1.0000,0.0000,0.000000,-14.9985,-114.9985,10.0000,0.0000,0.000000,28.7459,-64.2541,10.0000,0.0000,0.000000
66,topsis-q,266,1,0.100,0,0,0,0.772345,0.000000,0.358437,4.3722,-90.6278,1.0000,0.0000,0.000000,-14.9564,-114.9564,10.0000,0.0000,0.000000,29.1954,-63.8046,10.0000,0.0000,0.000000
66,topsis-q,266,2,0.200,0,2,1,0.534288,0.000000,1.000000,4.3894,-90.6106,1.0000,0.0000,0.000000,-14.9142,-114.9142,10.0000,0.0000,0.000000,29.6110,-63.3890,0.0001,0.0000,0.000000
66,topsis-q,266,3,0.300,2,2,0,0.252549,0.000000,1.000000,4.4066,-90.5934,1.0000,0.0000,0.000000,-14.8719,-114.8719,10.0000,0.0000,0.000000,29.9840,-63.0160,0.0001,0.4915,0.000000
66,topsis-q,266,4,0.400,2,2,0,0.255689,0.000000,1.000000,4.4238,-90.5762,1.0000,0.0000,0.000000,-14.8295,-114.8295,10.0000,0.0000,0.000000,30.3050,-62.6950,0.7327,0.4915,0.000000
66,topsis-q,266,5,0.500,2,0,1,0.672315,0.000000,0.607713,4.4410,-90.5590,1.0004,2.0736,0.000000,-14.7869,-114.7869,10.0000,0.0000,0.000000,30.5649,-62.4351,0.8288,0.4915,0.000000
66,topsis-q,266,6,0.600,0,0,0,0.672341,0.000000,0.604451,4.4583,-90.5417,1.0004,2.1168,0.000000,-14.7443,-114.7443,10.0000,0.0000,0.000000,30.7555,-62.2445,0.8316,0.4915,0.000000
66,topsis-q,266,7,0.700,0,0,0,0.754366,0.000000,0.444665,4.4756,-90.5244,1.0004,2.0736,0.020408,-14.7015,-114.7015,8.4844,0.4752,0.083333,30.8704,-62.1296,2.0148,0.5325,0.027397
66,topsis-q,266,8,0.800,0,0,0,0.757312,0.013592,0.400936,4.4929,-90.5071,1.0004,2.1168,0.000000,-14.6586,-114.6586,8.5567,0.5184,0.000000,30.9055,-62.0945,2.0750,0.4915,0.000000
66,topsis-q,266,9,0.900,0,0,0,0.757493,0.013592,0.400794,4.5103,-90.4897,1.0004,2.1168,0.000000,-14.6156,-114.6156,8.4193,0.5184,0.000000,30.8594,-62.1406,2.0789,0.4915,0.000000
66,topsis-q,266,10,1.000,0,0,0,0.487530,0.474195,0.312126,4.5276,-90.4724,1.0004,2.1168,1.000000,-14.5724,-114.5724,8.5320,0.5184,0.000000,30.7338,-62.2662,2.0974,0.4915,1.000000
66,topsis-q,266,11,1.100,0,0,0,0.744529,0.034184,0.422202,4.5450,-90.4550,1.0004,2.1168,0.000000,-14.5291,-114.5291,8.4782,0.5616,0.000000,30.5333,-62.4667,2.1749,0.4915,0.000000
